0	5
1	9.875
2	11.325
3	12.57
4	13.46
5	14.072
6	14.589
7	15.008
8	15.337
9	15.587
10	15.765
11	15.882
12	15.945
13	15.964
14	15.946
15	15.895
16	15.812
17	15.699
18	15.559
19	15.392
20	15.201
21	14.987
22	14.753
23	14.5
24	14.229
25	13.944
26	13.645
27	13.335
28	13.014
29	12.686
30	12.352
31	12.012
32	11.667
33	11.316
34	10.961
35	10.602
36	10.239
37	9.872
38	9.503
39	9.13
40	8.755
41	8.378
42	8
43	7.62
44	7.239
45	6.858
46	6.476
47	6.093
48	5.709
49	5.323
50	4.934
51	4.542
52	4.146
53	3.746
54	3.34
55	2.928
56	2.51
57	2.085
58	1.652
59	1.211
60.6	0.28
